symbol,date,open,high,low,close,volume,adj_close
IAF,2016-01-06,5.15,5.19,5.07,5.18,91800,5.18
IAF,2016-01-05,5.29,5.32,5.27,5.27,84800,5.27
XXII,2016-01-06,1.28,1.32,1.22,1.25,829100,1.25
XXII,2016-01-05,1.39,1.40,1.26,1.30,579500,1.30
FCO,2016-01-06,7.62,7.75,7.62,7.66,15200,7.66
FCO,2016-01-05,7.62,7.68,7.62,7.67,18500,7.67
FAX,2016-01-06,4.59,4.62,4.56,4.60,885400,4.60
FAX,2016-01-05,4.59,4.63,4.57,4.62,1007900,4.62
IF,2016-01-06,5.46,5.50,5.46,5.50,2800,5.50
IF,2016-01-05,5.44,5.54,5.44,5.53,6000,5.53
AIII,2016-01-06,1.24,1.24,1.24,1.24,000,1.24
AIII,2016-01-05,1.24,1.24,1.24,1.24,000,1.24
ISL,2016-01-06,17.09,17.34,17.01,17.01,1500,17.01
ISL,2016-01-05,17.200001,17.450001,17.17,17.280001,1300,17.280001
CH,2016-01-06,5.42,5.48,5.42,5.42,42000,5.42
CH,2016-01-05,5.48,5.50,5.43,5.45,36300,5.45
ACU,2016-01-06,17.16,17.24,16.700001,16.870001,7700,16.870001
ACU,2016-01-05,17.41,17.639999,17.110001,17.280001,1600,17.280001
ATNM,2016-01-06,3.00,3.02,2.72,2.85,1218300,2.85
ATNM,2016-01-05,3.41,3.49,3.07,3.12,1759500,3.12
AE,2016-01-06,39.02,40.369999,38.799999,39.060001,5100,39.060001
AE,2016-01-05,38.209999,39.82,38.209999,39.290001,8800,39.290001
ADK,2016-01-06,2.17,2.23,2.10,2.16,89800,2.16
ADK,2016-01-05,2.10,2.20,1.95,2.03,136000,2.03
ACY,2016-01-06,12.04,12.39,12.04,12.37,1200,12.37
ACY,2016-01-05,12.20,12.40,12.07,12.34,5400,12.34
WGA,2016-01-06,0.48,0.49,0.48,0.48,1500,0.48
WGA,2016-01-05,0.47,0.47,0.47,0.47,200,0.47
AIRI,2016-01-06,8.15,8.15,8.15,8.15,100,8.15
AIRI,2016-01-05,8.17,8.17,8.02,8.02,1000,8.02
AAU,2016-01-06,0.65,0.65,0.60,0.63,57900,0.63
AAU,2016-01-05,0.64,0.66,0.62,0.65,42200,0.65
AXU,2016-01-06,0.35,0.36,0.34,0.35,104200,0.35
AXU,2016-01-05,0.37,0.37,0.34,0.35,78600,0.35
AAMC,2016-01-06,19.700001,20.879999,18.889999,19.969999,51000,19.969999
AAMC,2016-01-05,20.00,22.26,19.51,19.92,47400,19.92
APT,2016-01-06,1.70,1.72,1.58,1.61,121300,1.61
APT,2016-01-05,1.66,1.72,1.66,1.69,48200,1.69
DIT,2016-01-06,79.25,79.75,79.25,79.50,2100,79.50
DIT,2016-01-05,79.709999,79.889999,77.25,79.889999,20100,79.889999
ADGE,2016-01-06,0.36,0.38,0.35,0.37,18600,0.37
ADGE,2016-01-05,0.40,0.40,0.36,0.36,28000,0.36
AFCO,2016-01-06,7.00,7.14,6.95,7.01,65900,7.01
AFCO,2016-01-05,6.99,7.05,6.98,7.02,36900,7.02
ALN,2016-01-06,1.18,1.18,1.18,1.18,100,1.18
ALN,2016-01-05,1.17,1.20,1.07,1.18,8200,1.18
AMS,2016-01-06,1.66,1.81,1.66,1.74,1100,1.74
AMS,2016-01-05,1.89,1.90,1.58,1.75,8900,1.75
AMPE,2016-01-06,3.04,3.16,2.95,2.97,154800,2.97
AMPE,2016-01-05,2.92,3.50,2.92,3.17,498200,3.17
AXN,2016-01-06,0.87,0.97,0.84,0.86,687400,0.86
AXN,2016-01-05,0.65,0.87,0.64,0.80,489300,0.80
